1.0,358,5.3,87,0.9,1.1,-99,0,-99,880,186,34.5,142,50,6.8,18.7,0,1,1.5,16,1.8,0.17,50,-99,2.7,18.7
1.0,351.75,6,85,1.5,1,0.5,0,0,1,-99,200,140,50,7.9,-99,-99,1.2,1.3,15,1.7,0.8,50,-99,4.2,-99
1.0,327,8,74.6,2.8,2.2,0.42,0.57,0,10,200,23,325,157,2.6,1.6,0.06,0.41,0.09,6.8,0.67,0,0,0,0,0.6
1.0,371.2,7.6,86.8,1.4,1.7,0.13,0.36,0,4,120,10,100,28,0.8,1.3,-99,0.06,0.03,3,0.3,0,0,-99,-99,0.1
0.94,200,23,0,0,12,3.08,6.07,55,40,40,38,200,28,1.3,1.1,-99,0.05,0.2,17.8,0.46,5,-99,60,25,-99
1.0,285,24,0,0,21,3.55,14.99,65,420,280,40,294,28,1.3,0.8,-99,0.04,0.11,17.1,0.42,5,-99,60,25,6.3
1.0,168,15,0,0,12,2.91,7.56,80,875,275,21,-99,20,1,1,-99,0.04,0.1,15.9,-99,3,-99,50,20,-99
1.0,566,14,5.3,10,54.4,3.9,47.86,0,12,504,192,401,168,7.9,2.3,-99,0.3,0.08,5.9,0.55,0,0,0,0,21
1.0,334,11.7,60,5.6,7,-99,0,0,8,355,80,400,129,5.8,4.5,-99,0.52,0.14,2.37,0.96,0,0,-99,-99,2
1.0,373,0,99.5,0,0,0,0,0,0.3,2.2,0.6,0.3,0.2,0.29,0,0,0,0,0,0,0,0,0,0,0
0.64,76,17.4,0,0,0.7,-99,0,-99,-99,-99,16,-99,23,0.3,0.4,-99,0.08,0.07,4.9,-99,2,-99,-99,-99,-99
0.99,74,17.7,2.4,0,0.1,0.09,0.4,46,1170,390,9,262,25,0.1,0.4,-99,0.04,0.05,2,0.17,1,-99,2,2.5,0.44
0.75,74,17.7,0,0,0.7,0.2,0.5,50,89,274,24,180,25,0.4,0.4,0.2,0.06,0.05,2.1,0.2,0.53,2,10,1.3,0.26
0.8,339,79,5.9,0,2.5,0.71,0.99,56,500,1500,60,450,28.3,4.3,2.4,0.5,0.09,0.11,3.5,0.2,5,0.1,23,5,1.3
1.0,660,8.4,1,0,69.3,28.21,34.24,100,680,160,13,108,12,1.2,1.8,-99,0.36,0.11,1.8,0.3,0.8,0,0.01,0.01,0.23
0.9,105,18,-99,-99,11.6,-99,0,70,80,308,22,201,29,0.7,-99,0.14,0.11,0.08,2.5,-99,-99,1,12,-99,1.3
1.0,475,5,58,-99,24,9,9.5,-99,150,250,120,150,50,1.5,-99,-99,0.05,0.2,0.3,0.7,0.01,1.2,60,0.05,1
1.0,466,22.9,42,5.4,22.9,4.6,15.12,-99,60,345,474,531,102,12.86,-99,-99,0.66,0.94,11.43,0.94,0.48,28.57,381,2.37,4.77
1.0,490,21.8,55.7,-99,20,-99,0,0,-99,-99,-99,-99,-99,-99,-99,-99,2.3,3,34.02,3.4,8.4,85,800,5,12.7
1.0,332,35,60,-99,4.3,-99,0,0,284,312,149,-99,40,1.24,1,-99,4,4.8,48,5,12,200,800,5,32
1.0,340,26.6,55.1,9.7,1.4,1.4,0.22,-99,300,688,625,605,142,9.14,7.14,-99,0.66,0.94,11.44,0.94,0.48,28.57,381,2.37,4.77
1.0,395,19,70,-99,3.5,-99,0,-99,549,750,303,571,48,-99,-99,-99,0.93,1.05,10.62,1.15,2.02,45,0,0,8
1.0,363,85,2,-99,1,-99,0,0,88,172,992,653,17,-99,-99,-99,1.6,2,14.5,2.2,6,85,-99,0,15
1.0,47,17,0,0,0.5,0.05,0.16,41,121,0,128,204,51,24,1.3,0,0.04,0.14,4.1,0.08,0,0,250,0,0.37
0.85,16.56,1.24,2.66,1.3,0.18,-99,0,0,3,214,11,20,12,0.42,0.3,-99,0.04,0.05,0.6,0.09,0,6,5.17,0,-99
